142791,333.19,3,-2.5,-26.74,3.02,-2.47
142813,332.94,2.94,-2.44,-26.97,2.98,-2.45
142835,332.75,2.94,-2.44,-27.19,2.97,-2.54
142856,332.69,2.94,-2.56,-27.24,2.97,-2.71
142880,332.62,2.94,-2.87,-27.26,2.94,-3.02
142899,332.62,2.81,-3.19,-27.27,2.86,-3.19
142922,332.62,2.75,-3.62,-27.27,2.78,-3.9
142941,332.62,2.69,-4.12,-27.25,2.74,-4.44
142963,332.75,2.75,-4.62,-27.11,2.82,-4.92
142986,332.75,2.81,-5.12,-27.07,2.92,-5.39
143005,332.81,2.94,-5.56,-27,3.06,-5.84
143030,332.81,3.06,-6,-26.95,3.18,-6.22
143049,332.87,3.25,-6.44,-26.91,3.29,-6.46
143072,332.87,3.31,-6.56,-26.88,3.36,-6.58
143091,332.94,3.37,-6.5,-26.85,3.37,-6.44
143113,333.06,3.25,-6.31,-26.73,3.29,-6.2
143135,333.06,3.06,-6.06,-26.67,3,-5.98
143156,333.25,2.87,-5.87,-26.5,2.83,-5.83
143180,333.37,2.75,-5.75,-26.38,2.69,-5.76
143199,333.75,2.56,-5.81,-26.08,2.58,-5.81
143222,333.81,2.5,-5.94,-26.02,2.51,-6.06
143241,333.81,2.37,-6.12,-26.02,2.42,-6.26
143263,333.87,2.31,-6.31,-25.99,2.31,-6.45
143286,333.81,2.19,-6.5,-26.08,2.16,-6.62
143307,333.87,2.06,-6.69,-25.98,2.01,-6.81
143331,333.87,1.87,-6.87,-26,1.81,-7
143350,333.94,1.5,-7.06,-25.91,1.55,-7.12
143373,334,1.19,-7.12,-25.91,1.22,-7.18
143392,334,0.75,-7.12,-25.91,0.8,-7.13
143414,334.06,0.37,-7.06,-25.88,0.41,-7.01
143436,334.19,0,-6.87,-25.74,-0.13,-6.8
143457,334.37,-0.25,-6.62,-25.54,-0.44,-6.54
143481,334.5,-0.56,-6.37,-25.51,-0.78,-6.32
143500,334.81,-1.12,-6.19,-25.23,-1.14,-6.19
143523,334.75,-1.5,-6.12,-25.28,-1.51,-6.2
143542,334.69,-1.75,-6.25,-25.37,-1.81,-6.36
143564,334.69,-2.06,-6.44,-25.39,-2.14,-6.66
143587,334.56,-2.31,-6.81,-25.62,-2.49,-7.11
143606,334.44,-2.62,-7.31,-25.73,-2.78,-7.63
143630,334.31,-2.87,-7.87,-25.91,-3.1,-8.15
143650,334.12,-3.44,-8.5,-26.07,-3.45,-8.56
143673,334.06,-3.81,-8.81,-26.21,-3.84,-8.86
143692,334,-4.31,-8.75,-26.31,-4.33,-8.78
143714,334,-4.87,-8.5,-26.34,-4.9,-8.35
143736,334,-5.5,-8.06,-26.36,-5.83,-7.87
143755,334.12,-6.12,-7.56,-26.25,-6.1,-7.37
143779,334.19,-6.69,-7.12,-26.2,-7.06,-6.95
143798,334.19,-7.31,-6.81,-25.89,-7.69,-6.71
143822,334.5,-8,-6.56,-25.93,-8.33,-6.58
143841,334.5,-8.94,-6.5,-25.95,-8.94,-6.52
143863,334.69,-9.44,-6.5,-25.82,-9.49,-6.6
143886,334.75,-10,-6.62,-25.82,-10.28,-6.81
143906,335,-10.5,-6.94,-25.59,-10.82,-7.15
143931,335.06,-11.06,-7.31,-25.63,-11.34,-7.5
143950,335.12,-11.56,-7.75,-25.43,-11.82,-7.77
143973,335.37,-12.31,-7.94,-25.46,-12.32,-8.02
143993,335.44,-12.88,-8,-25.46,-12.88,-8.15
144015,335.75,-13.44,-8.06,-25.19,-13.47,-8.1
144037,335.81,-14.19,-8.06,-25.16,-14.65,-8.09
144056,336.19,-15.06,-8.06,-24.87,-15.52,-8.01
144080,336.37,-15.88,-7.87,-24.63,-16.29,-7.83
144100,336.56,-16.62,-7.56,-24.3,-16.97,-7.59
144123,336.87,-17.56,-7.31,-24.21,-17.61,-7.22
144143,336.87,-18.19,-7.12,-24.21,-18.24,-7.14
144165,337.12,-18.75,-7.06,-24.01,-18.79,-7.11
144188,337.06,-19.25,-7.19,-24.13,-19.46,-7.34
144208,337.31,-19.62,-7.5,-24.03,-19.81,-7.66
144233,337.25,-19.94,-7.81,-24.14,-20.14,-8.01
144252,337.37,-20.44,-8.25,-24.06,-20.49,-8.25
144275,337.5,-20.87,-8.31,-23.99,-20.9,-8.33
144294,337.62,-21.31,-8.25,-23.9,-21.35,-8.17
144316,337.87,-21.81,-8,-23.66,-21.79,-7.82
144339,338,-22.25,-7.56,-23.35,-22.51,-7.35
144358,338.44,-22.69,-7.06,-22.88,-22.93,-6.89
144382,338.56,-23.06,-6.69,-22.67,-23.28,-6.6
144402,339.12,-23.56,-6.44,-22.21,-23.6,-6.47
144425,339.25,-23.87,-6.5,-22.12,-23.92,-6.63
144444,339.37,-24.25,-6.69,-22.04,-24.29,-6.89
144466,339.56,-24.69,-6.94,-21.91,-24.75,-7.06
144489,339.81,-25.19,-7.06,-21.59,-25.41,-7.05
144508,340.5,-25.69,-7,-21.05,-26.01,-6.95
144532,341,-26.31,-6.81,-20.31,-26.7,-6.73
144552,341.56,-27.37,-6.5,-19.66,-27.42,-6.52
144575,342.37,-28.06,-6.37,-19.19,-28.11,-6.43
144594,342.69,-28.69,-6.44,-18.91,-28.74,-6.58
144616,343.12,-29.31,-6.56,-18.56,-29.33,-6.62
144638,343.31,-29.87,-6.56,-18.4,-30.18,-6.6
144657,343.62,-30.37,-6.5,-18.15,-30.38,-6.42
144681,343.75,-30.75,-6.25,-17.83,-30.94,-6.16
144701,343.87,-31.06,-6,-17.5,-31.25,-5.9
144725,344.12,-31.37,-5.69,-17.46,-31.56,-5.65
144744,344.06,-31.87,-5.56,-17.47,-31.91,-5.63
