245089,336.87,0.13,-5.94,-23.09,0.14,-5.94
245111,336.87,0.13,-5.87,-23.07,0.18,-5.86
245130,336.94,0.19,-5.81,-23,0.24,-5.8
245154,337,0.25,-5.75,-22.93,0.28,-5.75
245173,337.06,0.25,-5.69,-22.85,0.31,-5.74
245196,337.12,0.25,-5.75,-22.79,0.31,-5.77
245215,337.25,0.25,-5.75,-22.73,0.31,-5.77
245236,337.31,0.31,-5.75,-22.63,0.33,-5.76
245258,337.37,0.31,-5.69,-22.59,0.36,-5.71
245277,337.37,0.37,-5.62,-22.56,0.38,-5.63
245299,337.44,0.37,-5.56,-22.5,0.39,-5.56
245319,337.5,0.37,-5.5,-22.44,0.39,-5.5
245341,337.56,0.37,-5.44,-22.4,0.39,-5.5
245362,337.62,0.37,-5.44,-22.33,0.39,-5.5
245382,337.69,0.37,-5.44,-22.27,0.4,-5.48
245406,337.69,0.37,-5.44,-22.23,0.41,-5.45
245425,337.81,0.37,-5.37,-22.17,0.41,-5.44
245447,337.81,0.37,-5.44,-22.12,0.42,-5.45
245466,337.87,0.44,-5.44,-22.08,0.44,-5.46
245487,337.87,0.44,-5.44,-22.05,0.44,-5.5
245510,337.94,0.44,-5.5,-22.03,0.47,-5.51
245529,337.94,0.5,-5.44,-22.02,0.51,-5.45
245552,337.94,0.5,-5.37,-22.03,0.58,-5.32
245572,337.94,0.56,-5.25,-22,0.62,-5.19
245595,337.94,0.62,-5.12,-21.97,0.66,-5.1
245615,338,0.69,-5,-21.93,0.69,-5.06
245636,338.06,0.69,-5,-21.88,0.7,-5.05
245658,338.06,0.62,-5.06,-21.86,0.68,-5.15
245678,338.06,0.62,-5.19,-21.89,0.65,-5.28
245700,338.06,0.56,-5.31,-21.87,0.57,-5.4
245720,338.06,0.5,-5.44,-21.86,0.52,-5.51
245741,338.12,0.44,-5.56,-21.85,0.4,-5.64
245763,338.06,0.31,-5.69,-21.89,0.33,-5.79
245787,338.06,0.25,-5.94,-21.92,0.27,-5.95
245808,338,0.19,-6.06,-21.93,0.2,-6.17
