155735,-10.88,11.19,-25.5
155748,-10.88,11.19,-25.5
155761,-10.88,11.19,-25.5
155774,-10.88,11.19,-25.5
155785,-10.19,10.88,-26.69
155797,-10.19,10.88,-26.69
155811,-10.19,10.88,-26.69
155824,-10.19,10.88,-26.69
155835,-9.5,10.5,-25.87
155847,-9.5,10.5,-25.87
155861,-9.5,10.5,-25.87
155874,-9.5,10.5,-25.87
155886,-9.5,10.88,-25.87
155897,-9.5,10.88,-25.87
155911,-9.5,10.88,-25.87
155924,-9.5,10.88,-25.87
155936,-9.75,9.75,-25.5
155949,-9.75,9.75,-25.5
155962,-9.75,9.75,-25.5
155975,-9.75,9.75,-25.5
155986,-10.56,11.56,-25.87
155998,-10.56,11.56,-25.87
156012,-10.56,11.56,-25.87
156025,-10.56,11.56,-25.87
156036,-9.75,11,-25.37
156048,-9.75,11,-25.37
156062,-9.75,11,-25.37
156075,-9.75,11,-25.37
156086,-10.56,10.25,-24.56
156098,-10.56,10.25,-24.56
156112,-10.56,10.25,-24.56
156125,-10.56,10.25,-24.56
156136,-10.19,10.25,-25.75
156148,-10.19,10.25,-25.75
156162,-10.19,10.25,-25.75
156175,-10.19,10.25,-25.75
156186,-10.88,11.25,-25
156198,-10.88,11.25,-25
156212,-10.88,11.25,-25
156225,-10.88,11.25,-25
156237,-11.25,10.56,-25.37
156250,-11.25,10.56,-25.37
156263,-11.25,10.56,-25.37
156276,-11.25,10.56,-25.37
156287,-9.75,11,-25.75
156300,-9.75,11,-25.75
156313,-9.75,11,-25.75
156326,-9.75,11,-25.75
156337,-10.19,11,-25.37
156350,-10.19,11,-25.37
156363,-10.19,11,-25.37
156376,-10.19,11,-25.37
156387,-10.56,11.25,-25.75
156400,-10.56,11.25,-25.75
156413,-10.56,11.25,-25.75
156426,-10.56,11.25,-25.75
156437,-10.56,11,-24.56
156450,-10.56,11,-24.56
156463,-10.56,11,-24.56
156476,-10.56,11,-24.56
156487,-10.88,10.56,-25
156500,-10.88,10.56,-25
156513,-10.88,10.56,-25
156526,-10.88,10.56,-25
156537,-10.56,11,-25
156549,-10.56,11,-25
156563,-10.56,11,-25
156576,-10.56,11,-25
156588,-10.88,11,-26.19
156599,-10.88,11,-26.19
156613,-10.88,11,-26.19
156626,-10.88,11,-26.19
156638,-10.56,11.25,-25
156651,-10.56,11.25,-25
156664,-10.56,11.25,-25
156677,-10.56,11.25,-25
156688,-10.56,11,-24.56
156701,-10.56,11,-24.56
156714,-10.56,11,-24.56
156727,-10.56,11,-24.56
156738,-11.69,11,-24.19
156751,-11.69,11,-24.19
156764,-11.69,11,-24.19
156777,-11.69,11,-24.19
156788,-11.69,10.25,-25.06
156800,-11.69,10.25,-25.06
156814,-11.69,10.25,-25.06
156827,-11.69,10.25,-25.06
156838,-11.69,10.56,-24.25
156850,-11.69,10.56,-24.25
156864,-11.69,10.56,-24.25
156877,-11.69,10.56,-24.25
156888,-12.19,10.56,-24
156900,-12.19,10.56,-24
156914,-12.19,10.56,-24
156927,-12.19,10.56,-24
156939,-11.75,9.5,-24
156952,-11.75,9.5,-24
156965,-11.75,9.5,-24
156978,-11.75,9.5,-24
156989,-12.88,10.25,-24.37
157002,-12.88,10.25,-24.37
157015,-12.88,10.25,-24.37
157028,-12.88,10.25,-24.37
157039,-12.88,10.25,-24.75
157052,-12.88,10.25,-24.75
157065,-12.88,10.25,-24.75
157078,-12.88,10.25,-24.75
157089,-12.88,10.56,-23.56
157101,-12.88,10.56,-23.56
157115,-12.88,10.56,-23.56
157128,-12.88,10.56,-23.56
157139,-12.88,9.5,-22.37
157151,-12.88,9.5,-22.37
157165,-12.88,9.5,-22.37
157178,-12.88,9.5,-22.37
157189,-13.19,9.5,-22.37
157201,-13.19,9.5,-22.37
157215,-13.19,9.5,-22.37
157228,-13.19,9.5,-22.37
157239,-13.19,9.5,-23.56
157251,-14,9.5,-23.56
157265,-14,9.5,-23.56
157278,-14,9.5,-23.56
157290,-15.19,9.5,-20.56
157303,-15.19,9.5,-20.56
157316,-15.19,9.5,-20.56
157329,-15.19,9.5,-20.56
157340,-14.5,8.75,-21.75
157352,-14.5,8.75,-21.75
157366,-14.5,8.75,-21.75
157379,-14.5,8.75,-21.75
157390,-16.19,8.5,-21.87
157402,-16.19,8.5,-21.87
157416,-16.19,8.5,-21.87
157429,-16.19,8.5,-21.87
157440,-16.19,8.5,-20.37
157453,-16.19,8.5,-20.37
157466,-16.19,8.5,-20.37
157479,-16.19,8.5,-20.37
157490,-16.06,6.87,-19.5
157503,-16.06,6.87,-19.5
157516,-16.06,6.87,-19.5
157529,-16.06,6.87,-19.5
157540,-16.5,6.87,-18.69
157552,-16.5,6.87,-18.69
157566,-16.5,6.87,-18.69
157579,-16.5,6.87,-18.69
157591,-17.5,6.06,-17
157602,-17.5,6.06,-17
157615,-17.5,6.06,-17
157629,-17.5,6.06,-17
157641,-17.5,4.69,-16.25
157653,-17.5,4.69,-16.25
157667,-17.5,4.69,-16.25
157680,-17.5,4.69,-16.25
157691,-18.25,3.19,-15.06
157703,-18.25,3.19,-15.06
157717,-18.25,3.19,-15.06
157730,-18.25,3.19,-15.06
157741,-18.56,3.19,-13.75
157753,-18.56,3.19,-13.75
157767,-18.56,3.19,-13.75
157780,-18.56,3.19,-13.75
157791,-19,0.56,-13.06
157803,-19,0.56,-13.06
157817,-19,0.56,-13.06
157830,-19,0.56,-13.06
157841,-18.56,-0.06,-11.5
157853,-18.56,-0.06,-11.5
157867,-18.56,-0.06,-11.5
157880,-18.56,-0.06,-11.5
157891,-19,-1.56,-10.25
157903,-19,-1.56,-10.25
157916,-19,-1.56,-10.25
157930,-19,-1.56,-10.25
157942,-18.56,-2.69,-9.5
157953,-18.56,-2.69,-9.5
157966,-18.56,-2.69,-9.5
157980,-18.56,-2.69,-9.5
157992,-19,-3.75,-6.69
158004,-19,-3.75,-6.69
158018,-19,-3.75,-6.69
158031,-19,-3.75,-6.69
158042,-19,-6.37,-6.25
158054,-19,-6.37,-6.25
158068,-19,-6.37,-6.25
158081,-19,-6.37,-6.25
